Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,3/26/2025 13:27,FALSE,Baltimore Running,3.01,324,0:26:24,150,166,3.1,170,177,8:46,7:54,142,143,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,504",59,No,00:06.5,4,78.8,--,--,--,0:26:15,0:27:31,14,96
Indoor Cycling,3/26/2025 7:47,FALSE,60': Aerobic / Active Recovery w,16.77,586,1:00:00,132,148,2.9,--,--,16.8,45.5,--,--,--,--,--,--,--,87,96,144,--,49.1,151,141,175,5258,--,--,--,77,No,00:00.4,16,84.2,--,--,--,0:59:57,1:07:04,--,--
Pool Swim,3/25/2025 15:32,FALSE,Pool Swim,"2,400",406,0:51:22,134,159,2.5,--,--,1:41,1:18,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1096,37,27,--,--,No,00:07.7,48,--,--,--,--,0:40:35,0:52:00,--,--
Running,3/25/2025 6:13,FALSE,Baltimore Running,4.67,494,0:39:46,153,176,3.7,172,185,8:31,6:58,70,125,1.1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,890",60.8,No,06:35.0,5,80.6,--,--,--,0:39:41,0:40:54,-3,87
Indoor Cycling,3/23/2025 9:39,FALSE,Indoor Cycling,27.75,950,1:30:02,141,165,3.6,--,--,18.5,22.3,--,--,--,--,--,--,--,89,102,159,--,90.3,165,155,336,8054,--,--,--,77,No,09:56.6,6,84.2,--,--,--,1:29:57,1:33:25,--,--
Running,3/22/2025 11:18,FALSE,Baltimore Running,9.01,996,1:33:00,142,160,3.5,164,169,10:19,8:39,173,169,0.95,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"15,208",64.4,No,00:03.1,10,73.4,--,--,--,1:32:57,1:33:00,5,38
Pool Swim,3/21/2025 10:39,FALSE,Pool Swim,"1,600",265,0:31:39,130,157,2.1,--,--,1:45,1:27,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,742,38,27,--,--,No,00:09.2,16,--,--,--,--,0:27:53,0:41:06,--,--
Indoor Cycling,3/20/2025 10:17,FALSE,Indoor Cycling,12.67,435,0:46:01,131,146,2.6,--,--,16.5,18,--,--,--,--,--,--,--,93,120,139,--,34.8,148,136,166,4306,--,--,--,78.8,No,09:40.0,3,86,--,--,--,0:45:58,0:46:01,--,--
Running,3/18/2025 18:05,FALSE,Baltimore Running,3.12,346,0:28:48,153,174,3.2,169,176,9:14,8:09,61,108,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,862",66.2,No,01:06.5,4,78.8,--,--,--,0:28:45,0:29:15,66,146
Multisport,3/16/2025 7:01,FALSE,Ironman 70.3 Puerto Rico - 2025,69.56,"3,467",6:23:05,--,168,5,--,--,10.9,--,"1,652","1,628",--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,No,--:--:--,5,--,--,--,--,--:--:--,6:23:05,14,168
Open Water Swimming,3/15/2025 11:16,FALSE,Santurce Open Water Swimming,543,97,0:10:39,111,129,0.4,--,--,1:58,1:23,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,287,47,28,--,82.4,No,00:54.2,2,98.6,--,--,--,0:10:06,0:11:59,--,--
Cycling,3/15/2025 10:01,FALSE,Santurce Cycling,1.58,37,07:46.3,108,123,0.6,--,--,12.2,18.3,14,23,--,--,--,--,--,61,89,86,48% L / 52% R,2.1,--,58,296,324,--,--,--,86,No,07:46.3,1,87.8,--,--,--,0:07:40,08:20.4,5,25
Running,3/14/2025 16:00,FALSE,Santurce Running,1,109,09:10.7,151,164,2.1,167,238,9:08,7:42,--,10,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"1,520",86,No,00:02.4,2,89.6,--,--,--,09:09.3,09:23.0,10,27
Running,3/13/2025 6:11,FALSE,Baltimore Running,3.12,335,0:29:31,130,149,2.9,167,214,9:27,8:30,92,103,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,946",55.4,No,01:07.0,4,86,--,--,--,0:29:24,0:31:22,-3,95
Running,3/11/2025 6:32,FALSE,Baltimore Running,3.12,331,0:27:49,145,164,3,166,175,8:55,7:16,79,99,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,654",53.6,No,01:01.7,4,82.4,--,--,--,0:27:46,0:29:20,-1,96
Running,3/9/2025 12:12,FALSE,Baltimore Running,12,"1,290",1:50:27,156,168,4.4,170,178,9:12,8:03,479,464,1.02,7.7,8,225,49.0% L / 51.0% R,--,--,--,--,0,--,--,--,--,--,--,"18,538",60.8,No,00:04.4,13,77,35,18,45,1:50:05,1:58:52,-3,85
